Type,stop_id,stop_name,stop_lat,stop_lon
Regional Bus,17135,Raglan St/Albert St (Creswick),-37.424546737,143.894452811
Regional Bus,17136,Talbot Town Hall/Ballarat St (Talbot),-37.170268678,143.702095469
Regional Bus,17137,Talbot Town Hall/Ballarat St (Talbot),-37.170276510,143.702376605
Regional Bus,17138,Carisbrook General Store/Green St (Carisbrook),-37.049054981,143.813088220
Regional Bus,17139,Carisbrook General Store/Green St (Carisbrook),-37.048973977,143.813091610
Regional Bus,17144,Market St/Calder Hwy (Harcourt),-36.996828254,144.260982015
Regional Bus,17145,Market St/Calder Hwy (Harcourt),-36.996928267,144.260630142
Regional Bus,17148,CFA/Bridport St (Daylesford),-37.342710041,144.141037844
Regional Bus,17149,Hotel/Midland Hwy (Blampied),-37.367221105,144.042237260
Regional Bus,17150,Hotel/Midland Hwy (Blampied),-37.367275366,144.041885153
Regional Bus,17151,Antique Shop/Midland Hwy (Newlyn),-37.401770607,143.994502784
Regional Bus,17152,Antique Shop/Midland Hwy (Newlyn),-37.401677722,143.994393551
Regional Bus,17153,Hadfield Park/High St (Wallan),-37.414504182,144.979108616
Regional Bus,17154,Hadfield Park/High St (Wallan),-37.414348215,144.979474367
Regional Bus,17231,Euroa Station/Railway St (Euroa),-36.749395995,145.568419731
Regional Bus,17247,Blanche St/Foord St (Wahgunyah),-36.010276216,146.394061804
Regional Bus,17248,Blanche St/Foord St (Wahgunyah),-36.010284278,146.393873100
Regional Bus,17253,Wangaratta Railway Station (Wangaratta),-36.355065598,146.317172513
Regional Bus,17347,King St/Commercial St (Korumburra),-38.430880644,145.822823119
Regional Bus,17351,Leongatha Railway Station/Long St (Leongatha),-38.477138661,145.947889101
Regional Bus,17365,Memorial Park/Grant St (Yarram),-38.564845859,146.674758001
Regional Bus,17368,Pier Rd/Bass Hwy (Grantville),-38.406959125,145.530387544
Regional Bus,17369,Grantville-Glen Alvie Rd/Bass Hwy (Grantville),-38.408153485,145.530054127
Regional Bus,17372,Corinella Public Hall/Smythe St (Corinella),-38.414469833,145.433325537
Regional Bus,17379,Forrest Ave/Phillip Island Rd (Newhaven),-38.514903230,145.357791786
Regional Bus,17381,Walton St/Thompson Ave (Cowes),-38.459047511,145.239067536
Regional Bus,17382,Walton St/Thompson Ave (Cowes),-38.458764476,145.238822290
Regional Bus,17384,Peppermint Rd/Bass Hwy (Kilcunda),-38.549455139,145.475921722
Regional Bus,17385,Peppermint Rd/Bass Hwy (Kilcunda),-38.549570312,145.475770114
Regional Bus,17386,Ozone Hotel/Bass Hwy (Dalyston),-38.563465254,145.546567465
Regional Bus,17387,Ozone Hotel/Bass Hwy (Dalyston),-38.563322818,145.546708063
Regional Bus,17419,Albury Railway Station (Albury (NSW)),-36.084243459,146.924326634
Regional Bus,17581,Hogan St/Fraser St (Tatura),-36.440476134,145.225309432
Regional Bus,17681,Moorabool St/Malop St (Geelong),-38.147228526,144.360369328
Regional Bus,17686,Grossmans Rd/Surf Coast Hwy (Torquay),-38.323057671,144.318407974
Regional Bus,17689,Ocean View Cres/Great Ocean Rd (Jan Juc),-38.338808643,144.305895353
Regional Bus,17691,Bells Bvd/Great Ocean Rd (Jan Juc),-38.338523158,144.286103802
Regional Bus,17692,Bells Bvd/Great Ocean Rd (Jan Juc),-38.338841656,144.287796433
Regional Bus,17693,Adiscott Rd/Great Ocean Rd (Bellbrae),-38.349558875,144.257786135
Regional Bus,17694,Adiscott Rd/Great Ocean Rd (Bellbrae),-38.349402362,144.257643304
Regional Bus,17695,Great Ocean Rd/Camp Rd (Anglesea),-38.404507737,144.188509787
Regional Bus,17697,Anglesea Motor Inn/Great Ocean Rd (Anglesea),-38.408993131,144.186572479
Regional Bus,17698,Anglesea Motor Inn/Great Ocean Rd (Anglesea),-38.409114753,144.186384550
Regional Bus,17699,Point Roadknight/Great Ocean Rd (Anglesea),-38.420388930,144.174906829
Regional Bus,17700,Point Roadknight/Great Ocean Rd (Anglesea),-38.420877155,144.173857078
Regional Bus,17701,Post Office/Great Ocean Rd (Aireys Inlet),-38.458741933,144.106974760
Regional Bus,17702,Post Office/Great Ocean Rd (Aireys Inlet),-38.458432515,144.106849629
Regional Bus,17703,Bambra Rd/Great Ocean Rd (Aireys Inlet),-38.464738058,144.100249106
Regional Bus,17704,Bambra Rd/Great Ocean Rd (Aireys Inlet),-38.464593481,144.100231982
Regional Bus,17705,Yarringa Rd/Great Ocean Rd (Fairhaven),-38.468107515,144.085010110
Regional Bus,17706,Yarringa Rd/Great Ocean Rd (Fairhaven),-38.467976621,144.085542531
Regional Bus,17707,Golf Links Rd/Great Ocean Rd (Eastern View),-38.472230086,144.043907652
Regional Bus,17708,Golf Links Rd/Great Ocean Rd (Eastern View),-38.471820089,144.044440117
Regional Bus,17711,Lorne Visitor Centre/Great Ocean Rd (Lorne),-38.537242832,143.974522318
Regional Bus,17712,Lorne Visitor Centre/Great Ocean Rd (Lorne),-38.537246497,143.974315696
Regional Bus,17713,McRae Rd/Great Ocean Rd (Wye River),-38.635315719,143.891055006
Regional Bus,17714,McRae Rd/Great Ocean Rd (Wye River),-38.635165638,143.890831777
Regional Bus,17715,Hawdon Ave/Great Ocean Rd (Kennett River),-38.668561278,143.862163853
Regional Bus,17717,Skenes Creek Valley Rd/Great Ocean Rd (Skenes Creek),-38.724998026,143.710124618
Regional Bus,17718,Pisces Holiday Park/Great Ocean Rd (Apollo Bay),-38.741715990,143.675389860
Regional Bus,17719,Pisces Holiday Park/Great Ocean Rd (Apollo Bay),-38.741678368,143.675334094
Regional Bus,17720,Visitor Information Centre/Great Ocean Rd (Apollo Bay),-38.754543902,143.669064945
Regional Bus,17726,Surf Club/Tregea St (Port Campbell),-38.619203670,142.993776508
Regional Bus,17729,General Store/Macs St (Peterborough),-38.607068333,142.877196984
Regional Bus,17730,General Store/Macs St (Peterborough),-38.607000372,142.877568193
Regional Bus,17737,Spring St/Commercial Rd (Koroit),-38.291657723,142.362509426
Regional Bus,17738,Spring St/Commercial Rd (Koroit),-38.291386786,142.362035365
Regional Bus,17746,Lindsay St/Princes Hwy (Heywood),-38.132951553,141.629793458
Regional Bus,17753,Hamilton Station/Station St (Hamilton),-37.746600310,142.028270042
Regional Bus,17759,Delacombe Way/Willaura-Wickliffe Rd (Willaura),-37.544690168,142.742365633
Regional Bus,17760,CFA Station/Glenelg Hwy (Wickliffe),-37.690396348,142.722937316
Regional Bus,17761,CFA Station/Glenelg Hwy (Wickliffe),-37.690889109,142.723112981
Regional Bus,17763,Information Centre/Glenelg Hwy (Lake Bolac),-37.712398122,142.840480648
Regional Bus,17773,Loader St/Glenelg Hwy (Smythesdale),-37.644977759,143.684336584
Regional Bus,17774,Loader St/Glenelg Hwy (Smythesdale),-37.645027526,143.684504328
Regional Bus,17776,Jetty Rd/Princes Hwy (Lakes Entrance),-37.874770748,148.007464165
Regional Bus,17798,Hotel/Western Hwy (Buangor),-37.366207154,143.172134878
Regional Bus,17799,Ararat Railway Station (Ararat),-37.282439010,142.936912365
Regional Bus,17801,Cuibitt St/Western Hwy (Great Western),-37.151495056,142.853451342
Regional Bus,17802,Cubitt St/Western Hwy (Great Western),-37.152021478,142.854592902
Regional Bus,17803,Stawell Railway Station (Stawell),-37.059258654,142.773548443
Regional Bus,17809,McDonald St/Marma St (Murtoa),-36.620115818,142.470228673
Regional Bus,17810,Walter St/Cromie St (Rupanyup),-36.631406822,142.631409431
Regional Bus,17812,Main St/Church St (Minyip),-36.460290564,142.587376696
Regional Bus,17816,Scott St/Woolcock St (Warracknabeal),-36.250910766,142.395332675
Regional Bus,17817,Swann St/Henty Hwy (Brim),-36.076742286,142.421040764
Regional Bus,17818,Swann St/Henty Hwy (Brim),-36.076499127,142.421276794
Regional Bus,17821,Hogans Newsagent/Phillips St (Beulah),-35.939398508,142.420907588
Regional Bus,17825,Austin St/Henty Hwy (Hopetoun),-35.726588905,142.364361579
Regional Bus,17826,Austin St/Henty Hwy (Hopetoun),-35.726970127,142.364670817
Regional Bus,17827,Coach Terminal/24 Roberts Ave (Horsham),-36.714191248,142.200518726
Regional Bus,17828,Fisher St/Western Hwy (Pimpinio),-36.584914569,142.118268504
Regional Bus,17829,Fisher St/Western Hwy (Pimpinio),-36.584555735,142.118302321
Regional Bus,17831,Car Park Rear Toilet Block/Lloyd St (Dimboola),-36.454107634,142.026416007
Regional Bus,17835,Information Centre/Western Hwy (Nhill),-36.333917056,141.649122218
Regional Bus,17837,Kaniva Community Roadhouse/Western Hwy (Kaniva),-36.378831669,141.240839897
Regional Bus,17840,Caltex Station/Calder Hwy (Ouyen),-35.069387365,142.318754309
Regional Bus,17841,Caltex Station/Calder Hwy (Ouyen),-35.069596499,142.319038140
Regional Bus,17963,Miners Rest Hotel/138 McKenzie St (Wonthaggi),-38.595751509,145.592145416
Regional Bus,17967,Seaward Dr/Cape Paterson Rd (Cape Paterson),-38.667844927,145.621124982
Regional Bus,17968,Seaward Dr/Cape Paterson Rd (Cape Paterson),-38.667770956,145.620965483
Regional Bus,17969,Ramsay Bvd/The Esplanade (Inverloch),-38.634605827,145.729677325
Regional Bus,17970,Gurdies - St Helier Rd/Bass Hwy (The Gurdies),-38.371533929,145.563053073
Regional Bus,17973,Post Office/Indi Ave (Red Cliffs),-34.307233051,142.187573331
Regional Bus,17976,Mildura Railway Station (Mildura),-34.182105541,142.163234208
Regional Bus,17977,General Store/Sunraysia Hwy (Tempy),-35.345314660,142.424802508
Regional Bus,17978,General Store/Sunraysia Hwy (Tempy),-35.344983599,142.424623332
Regional Bus,17979,Service Station/Sunraysia Hwy (Speed),-35.401944363,142.438837300
Regional Bus,17980,Service Station/Sunraysia Hwy (Speed),-35.401784502,142.438659302
Regional Bus,17983,Boree St/Sunraysia Hwy (Lascelles),-35.607880942,142.579256808
Regional Bus,17984,Boree St/Sunraysia Hwy (Lascelles),-35.607846198,142.579291814
Regional Bus,17985,Woomelang Station/Sunraysia Hwy (Woomelang),-35.682470181,142.664425359
Regional Bus,17986,Woomelang Station/Sunraysia Hwy (Woomelang),-35.682555713,142.664299271
Regional Bus,17987,Memorial Park/Cumming Ave (Birchip),-35.981265286,142.917912408
Regional Bus,17989,Post Office/Sunraysia Hwy (Donald),-36.370666896,142.982667286
Regional Bus,17991,Dundas St/Market St (St Arnaud),-36.615294965,143.258620177
Regional Bus,17997,Havelock St/Clarendon St (Maryborough),-37.047050283,143.736115133
Regional Bus,18000,Avoca Hotel/Sunraysia Hwy (Avoca),-37.089018568,143.473875065
Regional Bus,18001,Avoca Information Centre/Sunraysia Hwy (Avoca),-37.088818014,143.474401694
Regional Bus,1801,199 High St (Avoca),-37.080858807,143.471251061
Regional Bus,18335,Michael St/Princes Hwy (Pakenham),-38.061862023,145.456058058
Regional Bus,18686,Post Office/Myrtle St (Myrtleford),-36.561291530,146.724969842
Regional Bus,18687,Post Office/Myrtle St (Myrtleford),-36.561643373,146.725080346
Regional Bus,18688,Bailey St/Nicholson St (Porepunkah),-36.700154225,146.911423815
Regional Bus,18689,Alpine Hotel/Anderson St (Bright),-36.728352047,146.960433004
Regional Bus,18690,Falls Creek Coaches/233 Kiewa Valley Hwy (Mount Beauty),-36.737985763,147.160987062
Regional Bus,19122,Wesley St/High St (Kangaroo Flat),-36.803439886,144.241991836
Regional Bus,1937,Webster St/Dunlop St (Mortlake),-38.080954136,142.804804194
